"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
262,"2013-06-01 01:01:25","2013-06-01 01:05:47",2009,"Catherine St & Monroe St",40.71117444,-73.99682619,521,"8 Ave & W 31 St N",40.75096734871598,-73.99444207549095,16898,"Subscriber",1984,1
520,"2013-06-01 01:01:33","2013-06-01 01:10:13",384,"Fulton St & Washington Ave",40.683048,-73.964915,241,"DeKalb Ave & S Portland Ave",40.68981035,-73.97493121,17533,"Subscriber",1974,2
5301,"2013-06-01 01:01:38","2013-06-01 02:29:59",377,"6 Ave & Canal St",40.72243797,-74.00566443,539,"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,18293,"Customer",NULL,0
1318,"2013-06-01 01:01:35","2013-06-01 01:23:33",427,"Bus Slip & State St",40.701907,-74.013942,257,"Lispenard St & Broadway",40.71939226,-74.00247214,17561,"Customer",NULL,0
206,"2013-06-01 01:01:47","2013-06-01 01:05:13",508,"W 46 St & 11 Ave",40.76341379,-73.99667444,508,"W 46 St & 11 Ave",40.76341379,-73.99667444,16371,"Subscriber",1969,1
105,"2013-06-01 01:01:59","2013-06-01 01:03:44",528,"2 Ave & E 31 St",40.74290902,-73.97706058,528,"2 Ave & E 31 St",40.74290902,-73.97706058,16822,"Subscriber",1983,1
1287,"2013-06-01 01:02:05","2013-06-01 01:23:32",427,"Bus Slip & State St",40.701907,-74.013942,257,"Lispenard St & Broadway",40.71939226,-74.00247214,17503,"Customer",NULL,0
275,"2013-06-01 01:01:54","2013-06-01 01:06:29",476,"E 31 St & 3 Ave",40.74394314,-73.97966069,476,"E 31 St & 3 Ave",40.74394314,-73.97966069,18844,"Subscriber",1987,1
879,"2013-06-01 01:03:33","2013-06-01 01:18:12",528,"2 Ave & E 31 St",40.74290902,-73.97706058,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,20306,"Subscriber",1980,2
1273,"2013-06-01 01:03:37","2013-06-01 01:24:50",480,"W 53 St & 10 Ave",40.76669671,-73.99061728,173,"Broadway & W 49 St",40.76068327096592,-73.9845272898674,16339,"Subscriber",1981,1
